name,price,link,stock_availability,rating
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,https://books.toscrape.com/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,In stock,Four
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,https://books.toscrape.com/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html,In stock,Four
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,https://books.toscrape.com/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,In stock,Three
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,https://books.toscrape.com/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,In stock,Five
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,https://books.toscrape.com/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,In stock,One
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,https://books.toscrape.com/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,In stock,One
The Death of Humanity: and the Case for Life,58.11,https://books.toscrape.com/the-death-of-humanity-and-the-case-for-life_932/index.html,In stock,Four
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,https://books.toscrape.com/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html,In stock,Three
The Art Forger,40.76,https://books.toscrape.com/the-art-forger_930/index.html,In stock,Three
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,https://books.toscrape.com/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html,In stock,One
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,https://books.toscrape.com/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html,In stock,Five
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,https://books.toscrape.com/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,In stock,Four
Soul Reader,39.58,https://books.toscrape.com/soul-reader_926/index.html,In stock,Two
Security,39.25,https://books.toscrape.com/security_925/index.html,In stock,Two
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,https://books.toscrape.com/saga-volume-6-saga-collected-editions-6_924/index.html,In stock,Three
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,https://books.toscrape.com/saga-volume-5-saga-collected-editions-5_923/index.html,In stock,Two
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,https://books.toscrape.com/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,In stock,Two
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.40,https://books.toscrape.com/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,In stock,Three
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,https://books.toscrape.com/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,In stock,Five
Princess Between Worlds (Wide-Awake Princess #5),13.34,https://books.toscrape.com/princess-between-worlds-wide-awake-princess-5_919/index.html,In stock,Five
"Pop Gun War, Volume 1: Gift",18.97,https://books.toscrape.com/pop-gun-war-volume-1-gift_918/index.html,In stock,One
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,https://books.toscrape.com/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html,In stock,Two
Patience,10.16,https://books.toscrape.com/patience_916/index.html,In stock,Three
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,https://books.toscrape.com/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,In stock,Four
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,https://books.toscrape.com/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,In stock,One
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,https://books.toscrape.com/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html,In stock,One
On a Midnight Clear,14.07,https://books.toscrape.com/on-a-midnight-clear_912/index.html,In stock,Three
Obsidian (Lux #1),14.86,https://books.toscrape.com/obsidian-lux-1_911/index.html,In stock,Two
My Paris Kitchen: Recipes and Stories,33.37,https://books.toscrape.com/my-paris-kitchen-recipes-and-stories_910/index.html,In stock,Two
Masks and Shadows,56.40,https://books.toscrape.com/masks-and-shadows_909/index.html,In stock,Two
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,https://books.toscrape.com/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html,In stock,Four
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,https://books.toscrape.com/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html,In stock,Two
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,https://books.toscrape.com/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html,In stock,Three
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,https://books.toscrape.com/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html,In stock,Two
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,https://books.toscrape.com/layered-baking-building-and-styling-spectacular-cakes_904/index.html,In stock,One
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.90,https://books.toscrape.com/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html,In stock,Two
Join,35.67,https://books.toscrape.com/join_902/index.html,In stock,Five
In the Country We Love: My Family Divided,22.00,https://books.toscrape.com/in-the-country-we-love-my-family-divided_901/index.html,In stock,Four
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,https://books.toscrape.com/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html,In stock,Five
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,https://books.toscrape.com/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html,In stock,Two
I am a Hero Omnibus Volume 1,54.63,https://books.toscrape.com/i-am-a-hero-omnibus-volume-1_898/index.html,In stock,Three
How to Be Miserable: 40 Strategies You Already Use,46.03,https://books.toscrape.com/how-to-be-miserable-40-strategies-you-already-use_897/index.html,In stock,One
Her Backup Boyfriend (The Sorensen Family #1),33.97,https://books.toscrape.com/her-backup-boyfriend-the-sorensen-family-1_896/index.html,In stock,One
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,https://books.toscrape.com/giant-days-vol-2-giant-days-5-8_895/index.html,In stock,Two
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,https://books.toscrape.com/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html,In stock,Three
First and First (Five Boroughs #3),15.97,https://books.toscrape.com/first-and-first-five-boroughs-3_893/index.html,In stock,Four
Fifty Shades Darker (Fifty Shades #2),21.96,https://books.toscrape.com/fifty-shades-darker-fifty-shades-2_892/index.html,In stock,One
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,https://books.toscrape.com/everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html,In stock,Two
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,https://books.toscrape.com/dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html,In stock,Two
Danganronpa Volume 1,51.99,https://books.toscrape.com/danganronpa-volume-1_889/index.html,In stock,Four
Crown of Midnight (Throne of Glass #2),43.29,https://books.toscrape.com/crown-of-midnight-throne-of-glass-2_888/index.html,In stock,Three
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,https://books.toscrape.com/codename-baboushka-volume-1-the-conclave-of-death_887/index.html,In stock,Four
Camp Midnight,17.08,https://books.toscrape.com/camp-midnight_886/index.html,In stock,Four
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,https://books.toscrape.com/call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html,In stock,Five
Burning,28.81,https://books.toscrape.com/burning_884/index.html,In stock,Three
Bossypants,49.46,https://books.toscrape.com/bossypants_883/index.html,In stock,Two
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,https://books.toscrape.com/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html,In stock,Two
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,https://books.toscrape.com/avatar-the-last-airbender-smoke-and-shadow-part-3-smoke-and-shadow-3_881/index.html,In stock,Two
Algorithms to Live By: The Computer Science of Human Decisions,30.81,https://books.toscrape.com/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html,In stock,One
A World of Flavor: Your Gluten Free Passport,42.95,https://books.toscrape.com/a-world-of-flavor-your-gluten-free-passport_879/index.html,In stock,One
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,https://books.toscrape.com/a-piece-of-sky-a-grain-of-rice-a-memoir-in-four-meditations_878/index.html,In stock,Five
A Murder in Time,16.64,https://books.toscrape.com/a-murder-in-time_877/index.html,In stock,One
A Flight of Arrows (The Pathfinders #2),55.53,https://books.toscrape.com/a-flight-of-arrows-the-pathfinders-2_876/index.html,In stock,Five
A Fierce and Subtle Poison,28.13,https://books.toscrape.com/a-fierce-and-subtle-poison_875/index.html,In stock,Four
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,https://books.toscrape.com/a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1_874/index.html,In stock,One
(Un)Qualified: How God Uses Broken People to Do Big Things,54.00,https://books.toscrape.com/unqualified-how-god-uses-broken-people-to-do-big-things_873/index.html,In stock,Five
You Are What You Love: The Spiritual Power of Habit,21.87,https://books.toscrape.com/you-are-what-you-love-the-spiritual-power-of-habit_872/index.html,In stock,Four
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.30,https://books.toscrape.com/william-shakespeares-star-wars-verily-a-new-hope-william-shakespeares-star-wars-4_871/index.html,In stock,Four
Tuesday Nights in 1980,21.04,https://books.toscrape.com/tuesday-nights-in-1980_870/index.html,In stock,Two
Tracing Numbers on a Train,41.60,https://books.toscrape.com/tracing-numbers-on-a-train_869/index.html,In stock,Three
Throne of Glass (Throne of Glass #1),35.07,https://books.toscrape.com/throne-of-glass-throne-of-glass-1_868/index.html,In stock,Three
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,https://books.toscrape.com/thomas-jefferson-and-the-tripoli-pirates-the-forgotten-war-that-changed-american-history_867/index.html,In stock,One
Thirteen Reasons Why,52.72,https://books.toscrape.com/thirteen-reasons-why_866/index.html,In stock,One
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,58.08,https://books.toscrape.com/the-white-cat-and-the-monk-a-retelling-of-the-poem-pangur-ban_865/index.html,In stock,Four
The Wedding Dress,24.12,https://books.toscrape.com/the-wedding-dress_864/index.html,In stock,One
The Vacationers,42.15,https://books.toscrape.com/the-vacationers_863/index.html,In stock,Four
The Third Wave: An Entrepreneurâs Vision of the Future,12.61,https://books.toscrape.com/the-third-wave-an-entrepreneurs-vision-of-the-future_862/index.html,In stock,Five
The Stranger,17.44,https://books.toscrape.com/the-stranger_861/index.html,In stock,Four
The Shadow Hero (The Shadow Hero),33.14,https://books.toscrape.com/the-shadow-hero-the-shadow-hero_860/index.html,In stock,One
The Secret (The Secret #1),27.37,https://books.toscrape.com/the-secret-the-secret-1_859/index.html,In stock,Four
The Regional Office Is Under Attack!,51.36,https://books.toscrape.com/the-regional-office-is-under-attack_858/index.html,In stock,Five
The Psychopath Test: A Journey Through the Madness Industry,36.00,https://books.toscrape.com/the-psychopath-test-a-journey-through-the-madness-industry_857/index.html,In stock,Two
The Project,10.65,https://books.toscrape.com/the-project_856/index.html,In stock,One
The Power of Now: A Guide to Spiritual Enlightenment,43.54,https://books.toscrape.com/the-power-of-now-a-guide-to-spiritual-enlightenment_855/index.html,In stock,Two
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,https://books.toscrape.com/the-omnivores-dilemma-a-natural-history-of-four-meals_854/index.html,In stock,Two
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,https://books.toscrape.com/the-nerdy-nummies-cookbook-sweet-treats-for-the-geek-in-all-of-us_853/index.html,In stock,Five
The Murder of Roger Ackroyd (Hercule Poirot #4),44.10,https://books.toscrape.com/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html,In stock,Four
The Mistake (Off-Campus #2),43.29,https://books.toscrape.com/the-mistake-off-campus-2_851/index.html,In stock,Three
The Matchmaker's Playbook (Wingmen Inc. #1),55.85,https://books.toscrape.com/the-matchmakers-playbook-wingmen-inc-1_850/index.html,In stock,One
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.60,https://books.toscrape.com/the-love-and-lemons-cookbook-an-apple-to-zucchini-celebration-of-impromptu-cooking_849/index.html,In stock,Two
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,https://books.toscrape.com/the-long-shadow-of-small-ghosts-murder-and-memory-in-an-american-city_848/index.html,In stock,One
The Kite Runner,41.82,https://books.toscrape.com/the-kite-runner_847/index.html,In stock,Four
The House by the Lake,36.95,https://books.toscrape.com/the-house-by-the-lake_846/index.html,In stock,One
The Glittering Court (The Glittering Court #1),44.28,https://books.toscrape.com/the-glittering-court-the-glittering-court-1_845/index.html,In stock,One
The Girl on the Train,55.02,https://books.toscrape.com/the-girl-on-the-train_844/index.html,In stock,Two
The Genius of Birds,17.24,https://books.toscrape.com/the-genius-of-birds_843/index.html,In stock,One
The Emerald Mystery,23.15,https://books.toscrape.com/the-emerald-mystery_842/index.html,In stock,Two
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,https://books.toscrape.com/the-cookies-cups-cookbook-125-sweet-savory-recipes-reminding-you-to-always-eat-dessert-first_841/index.html,In stock,One
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.00,https://books.toscrape.com/the-bridge-to-consciousness-im-writing-the-bridge-between-science-and-our-old-and-new-beliefs_840/index.html,In stock,Three
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,https://books.toscrape.com/the-artists-way-a-spiritual-path-to-higher-creativity_839/index.html,In stock,Five
The Art of War,33.34,https://books.toscrape.com/the-art-of-war_838/index.html,In stock,Five
The Argonauts,10.93,https://books.toscrape.com/the-argonauts_837/index.html,In stock,Two
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,https://books.toscrape.com/the-10-entrepreneur-live-your-startup-dream-without-quitting-your-day-job_836/index.html,In stock,Three
Suddenly in Love (Lake Haven #1),55.99,https://books.toscrape.com/suddenly-in-love-lake-haven-1_835/index.html,In stock,Two
Something More Than This,16.24,https://books.toscrape.com/something-more-than-this_834/index.html,In stock,Four
Soft Apocalypse,26.12,https://books.toscrape.com/soft-apocalypse_833/index.html,In stock,Two
So You've Been Publicly Shamed,12.23,https://books.toscrape.com/so-youve-been-publicly-shamed_832/index.html,In stock,Two
Shoe Dog: A Memoir by the Creator of NIKE,23.99,https://books.toscrape.com/shoe-dog-a-memoir-by-the-creator-of-nike_831/index.html,In stock,Two
"Shobu Samurai, Project Aryoku (#3)",29.06,https://books.toscrape.com/shobu-samurai-project-aryoku-3_830/index.html,In stock,Three
Secrets and Lace (Fatal Hearts #1),20.27,https://books.toscrape.com/secrets-and-lace-fatal-hearts-1_829/index.html,In stock,One
Scarlett Epstein Hates It Here,43.55,https://books.toscrape.com/scarlett-epstein-hates-it-here_828/index.html,In stock,Five
Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,https://books.toscrape.com/romero-and-juliet-a-tragic-tale-of-love-and-zombies_827/index.html,In stock,One
Redeeming Love,20.47,https://books.toscrape.com/redeeming-love_826/index.html,In stock,Five
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,https://books.toscrape.com/poses-for-artists-volume-1-dynamic-and-sitting-poses-an-essential-reference-for-figure-drawing-and-the-human-form_825/index.html,In stock,One
Poems That Make Grown Women Cry,14.19,https://books.toscrape.com/poems-that-make-grown-women-cry_824/index.html,In stock,Four
"Nightingale, Sing",38.28,https://books.toscrape.com/nightingale-sing_823/index.html,In stock,One
Night Sky with Exit Wounds,41.05,https://books.toscrape.com/night-sky-with-exit-wounds_822/index.html,In stock,One
Mrs. Houdini,30.25,https://books.toscrape.com/mrs-houdini_821/index.html,In stock,Five
Modern Romance,28.26,https://books.toscrape.com/modern-romance_820/index.html,In stock,Five
Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),10.76,https://books.toscrape.com/miss-peregrines-home-for-peculiar-children-miss-peregrines-peculiar-children-1_819/index.html,In stock,One
Louisa: The Extraordinary Life of Mrs. Adams,16.85,https://books.toscrape.com/louisa-the-extraordinary-life-of-mrs-adams_818/index.html,In stock,Two
Little Red,13.47,https://books.toscrape.com/little-red_817/index.html,In stock,Three
Library of Souls (Miss Peregrineâs Peculiar Children #3),48.56,https://books.toscrape.com/library-of-souls-miss-peregrines-peculiar-children-3_816/index.html,In stock,Five
Large Print Heart of the Pride,19.15,https://books.toscrape.com/large-print-heart-of-the-pride_815/index.html,In stock,Two
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,https://books.toscrape.com/i-had-a-nice-time-and-other-lies-how-to-find-love-sht-like-that_814/index.html,In stock,Four
Hollow City (Miss Peregrineâs Peculiar Children #2),42.98,https://books.toscrape.com/hollow-city-miss-peregrines-peculiar-children-2_813/index.html,In stock,One
Grumbles,22.16,https://books.toscrape.com/grumbles_812/index.html,In stock,Two
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,https://books.toscrape.com/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html,In stock,Four
Frostbite (Vampire Academy #2),29.99,https://books.toscrape.com/frostbite-vampire-academy-2_810/index.html,In stock,Five
Follow You Home,21.36,https://books.toscrape.com/follow-you-home_809/index.html,In stock,One
First Steps for New Christians (Print Edition),29.00,https://books.toscrape.com/first-steps-for-new-christians-print-edition_808/index.html,In stock,One
Finders Keepers (Bill Hodges Trilogy #2),53.53,https://books.toscrape.com/finders-keepers-bill-hodges-trilogy-2_807/index.html,In stock,Five
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,https://books.toscrape.com/fables-vol-1-legends-in-exile-fables-1_806/index.html,In stock,Four
Eureka Trivia 6.0,54.59,https://books.toscrape.com/eureka-trivia-60_805/index.html,In stock,Four
Drive: The Surprising Truth About What Motivates Us,34.95,https://books.toscrape.com/drive-the-surprising-truth-about-what-motivates-us_804/index.html,In stock,Four
