unique_id,cateogry_name,brand,product_name,Country_of_production,regular_price,diet_tags,diet_attributes,pack_size,package_type,weight,ingredients,price_per_unit,images,nutrition,manufacturersAddress,Phone_no,address,email,variety,breadcrumbs,pdp_url,describition,Unit_of_Measure,competitor_name
00-89581,"Äpfel, Birnen & Trauben",Da komm ich her!,Da komm ich her! Mini Gala Apfel,Österreich,2.66,"pp-veget,pp-vegan,homecountry",,750g,Tasse,0.766,,3.55,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-89581-01650169511-BXJyLrps.jpg,"Energie: 52.0 kcal, Energie: 217.0 kJ, Fett: 0.4 g, davon gesättigte Fettsäuren: 0.094 g, Kohlenhydrate: 11.43 g, davon Zucker: 2.549 g, Eiweiß: 0.34 g, Salz: 0.008 g","Billa AG, Postfach 2000, 2355 Wiener Neudorf",,"Postfach 2000, 2355 Wiener Neudorf",,Gala,"Obst & Gemüse > Obst > Äpfel, Birnen & Trauben",https://shop.billa.at/produkte/da-komm-ich-her-mini-gala-apfel-0089581,Klasse I,kg,Billa
00-401474,"Äpfel, Birnen & Trauben",Da komm ich her!,Da komm ich her! Granny Smith Apfel gelegt 'Neue Ernte',Österreich,2.66,"pp-veget,pp-vegan,homecountry",,1kg,Kilo,1.0,,2.66,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-401474-1633672608-uik3uDEV.jpg,,,,,,Granny Smith,"Obst & Gemüse > Obst > Äpfel, Birnen & Trauben",https://shop.billa.at/produkte/da-komm-ich-her-granny-smith-apfel-gelegt-neue-ernte-00401474,Klasse I,kg,Billa
00-349026,"Äpfel, Birnen & Trauben",Da komm ich her!,Da komm ich her! 'Gala' Apfel gelegt,Österreich,2.66,"pp-veget,pp-vegan,homecountry",,1kg,Kilo,1.0,,2.66,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-349026-0204016155-URWTA1x7.jpg,,,,,,Gala,"Obst & Gemüse > Obst > Äpfel, Birnen & Trauben",https://shop.billa.at/produkte/da-komm-ich-her-gala-apfel-gelegt-00349026,"Gala Äpfel zählen mit ihrem süßlichen Aroma zu den Dessertäpfeln. Ursprünglich aus Neuseeland, ist die Sorte inzwischen auch in Österreich heimisch. hoher Vitamin-C-Gehalt, regionale Qualität aus Österreich Klasse I",kg,Billa
00-89693,"Äpfel, Birnen & Trauben",Da komm ich her!,Da komm ich her! Apfel 'Elstar' gelegt,Österreich,2.37,"pp-veget,pp-vegan,homecountry",,1kg,Kilo,1.0,,2.37,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-89693-1653735481-dzA7kLBQ.jpg,,,,,,Elstar,"Obst & Gemüse > Obst > Äpfel, Birnen & Trauben",https://shop.billa.at/produkte/da-komm-ich-her-apfel-elstar-gelegt-0089693,"Elstar Äpfel von Da komm ich her! sind mittelfest und haben einen frischen, süß-säuerlichen Geschmack. Die Sorte gehört zu den beliebtesten Speiseäpfeln. Qualität aus Österreich, eignet sich gut für Strudel oder zum Dörren Klasse I saftig, aromatisch, knackig, süß-säuerlich, perfekt für Saft, Apfelmus, Kompott, zum Backen",kg,Billa
00-89724,"Äpfel, Birnen & Trauben",Da komm ich her!,Da komm ich her! Golden Delicious Apfel,Österreich,2.37,"pp-veget,pp-vegan,homecountry",,1kg,Kilo,1.0,,2.37,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-89724-227217270-nN3knvzy.jpg,"Energie: 52.0 kcal, Energie: 217.0 kJ, Fett: 0.4 g, davon gesättigte Fettsäuren: 0.094 g, Kohlenhydrate: 11.43 g, davon Zucker: 2.549 g, Eiweiß: 0.34 g, Salz: 0.008 g","Billa AG, Postfach 2000, 2355 Wiener Neudorf",,"Postfach 2000, 2355 Wiener Neudorf",,Golden Delicious,"Obst & Gemüse > Obst > Äpfel, Birnen & Trauben",https://shop.billa.at/produkte/da-komm-ich-her-golden-delicious-apfel-0089724,"Klasse I Golden Delicious sind süße und hocharomatische Tafeläpfel. Die Sorte reift spät und kann an ihrer gelbgrünen Schale gut erkannt werden. Saftiges und festes Fruchtfleisch, Wenig Säure, viel Süße, aus Österreich",kg,Billa
00-405962,"Äpfel, Birnen & Trauben",Da komm ich her!,Da komm ich her! Apfel 'Jonagold',Österreich,2.66,"pp-veget,pp-vegan,homecountry",,1kg,Kilo,1.0,,2.66,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-405962-0144454757-PsMSwwun.jpg,,,,,,Jonagold,"Obst & Gemüse > Obst > Äpfel, Birnen & Trauben",https://shop.billa.at/produkte/da-komm-ich-her-apfel-jonagold-00405962,,kg,Billa
00-764110,"Äpfel, Birnen & Trauben",,Apfel 'Kanzi' Tasse,Österreich,2.85,"pp-veget,homecountry",,1kg,Tasse,1.0,,2.85,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-764110-1749941995-zBU54itb.jpg,,,,,,Nicoter,"Obst & Gemüse > Obst > Äpfel, Birnen & Trauben",https://shop.billa.at/produkte/apfel-kanzi-tasse-00764110,Klasse I,kg,Billa
00-411210,"Äpfel, Birnen & Trauben",,Apfel Evelina Tasse,Österreich,2.56,"pp-veget,pp-vegan,homecountry",,1kg,Tasse,1.0,,2.56,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-411210-0148587737-ZaU1sbjz.jpg,,,,,,Roho 3615 (Evelina),"Obst & Gemüse > Obst > Äpfel, Birnen & Trauben",https://shop.billa.at/produkte/apfel-evelina-tasse-00411210,"Klasse I EVELINA ist eine Apfelsorte, die aus dem aromatischen Pinova gezüchtet wurde.EVELINA kann man nicht übersehen: knallrot mit feinen gelben Sprenkeln. Die feste Schale wirkt wie eine natürliche Verpackung, sodass die sich die außergewöhnliche Konsistenz dieses Apfels länger hält - wie frisch vom Baum gepflückt. EVELINA schmeckt saftig, mit süßen, fast blumigen Aromen, zugleich ist da eine feine Säure. Und genau dieser Mix erklärt die vielfältige Verwendung der Apfelsorte: Du kannst EVELINA Äpfel in feine Desserts verarbeiten, zum Käse genießen¿ -oder einfach mit Butz und Stingl verspeisen.",kg,Billa
00-89188,"Äpfel, Birnen & Trauben",Ja! Natürlich,Ja! Natürlich Apfel Topaz,Österreich,3.04,"pp-veget,pp-vegan,pp-bio,homecountry",,1kg,Tasse,1.0,,3.04,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-89188-0161984721-tDqPdkTm.jpg,,"Ja! Natürlich Naturprodukte Gesellschaft m.b.H., Postfach 2000, A-2355 Wr. Neudorf",+43 2236 600 6950,"Postfach 2000, A-2355 Wr. Neudorf",info@janatuerlich.at,Topaz,"Obst & Gemüse > Obst > Äpfel, Birnen & Trauben",https://shop.billa.at/produkte/ja-natuerlich-apfel-topaz-0089188,"Der Ja! Natürlich Bio-Topaz Apfel ist eine Kreuzung aus den Sorten Rubin und Vanda. Er ist deshalb besonders knackig und saftig. Er ist süß-sauer im Geschmack und kommt aus Anbaugebieten in der Steiermark, Nieder- und Oberösterreich sowie in Tirol.",kg,Billa
00-757907,"Äpfel, Birnen & Trauben",CLEVER,Clever Apfel Rot,Österreich,2.18,"pp-vegan,homecountry",,1kg,Tasse,1.0,,2.18,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-757907-1197396195-5xkgnRun.jpg,,,,,,diverse rote Sorten (exkl. Roter Delicious),"Obst & Gemüse > Obst > Äpfel, Birnen & Trauben",https://shop.billa.at/produkte/clever-apfel-rot-00757907,diverse Sorten (exkl. Roter Delicious) - Güteklasse: I Die saftigen clever Äpfel sind ein wichtiger Vitaminlieferant für Groß & Klein. Die roten Äpfel werden in Österreich geerntet. Geerntet in Österreich,kg,Billa
00-879642,"Äpfel, Birnen & Trauben",SanLucar,SanLucar Trauben weiß kernlos,"Italien, Peru",4.99,pp-vegan,,600g,Packung,0.61,,8.32,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-879642-1977381188-FI2WQQUZ.jpg,,,,,,,"Obst & Gemüse > Obst > Äpfel, Birnen & Trauben",https://shop.billa.at/produkte/sanlucar-trauben-weiss-kernlos-00879642,diverse kernlose Sorten - Güteklasse: I,kg,Billa
00-879644,"Äpfel, Birnen & Trauben",SanLucar,SanLucar Trauben rot kernlos,Ägypten,4.99,pp-vegan,,600g,Packung,0.61,,8.32,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-879644-0116529506-FQV-I950.jpg,,,,,,,"Obst & Gemüse > Obst > Äpfel, Birnen & Trauben",https://shop.billa.at/produkte/sanlucar-trauben-rot-kernlos-00879644,,kg,Billa
00-89323,"Äpfel, Birnen & Trauben",,Birne 'Nashi',Volksrepublik China,3.8,pp-vegan,,1kg,Kilo,1.0,,3.8,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-89323-1874587278-AAzcZ0gX.jpg,,,,,,Nashi,"Obst & Gemüse > Obst > Äpfel, Birnen & Trauben",https://shop.billa.at/produkte/birne-nashi-0089323,,kg,Billa
00-88130,Steinobst & Beeren,Da komm ich her!,Da komm ich her! Erdbeeren,Österreich,3.99,"pp-veget,homecountry",,500g,Tasse,0.516,,7.98,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-88130-88891929-bio9rKyJ.jpg,"Energie: 32.0 kcal, Energie: 134.0 kJ, Fett: 0.4 g, davon gesättigte Fettsäuren: 0.023 g, Kohlenhydrate: 5.5 g, davon Zucker: 0.985 g, Eiweiß: 0.8 g, Salz: 0.008 g","Billa AG, Postfach 2000, 2355 Wiener Neudorf",,"Postfach 2000, 2355 Wiener Neudorf",,,Obst & Gemüse > Obst > Steinobst & Beeren,https://shop.billa.at/produkte/da-komm-ich-her-erdbeeren-0088130,Klasse I,kg,Billa
00-410755,Steinobst & Beeren,,Himbeeren,"Spanien, Marokko, Österreich, Polen",2.99,"pp-veget,pp-vegan",,125g,Tasse,0.141,,23.92,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-410755-0506398523-h_acgSvj.jpg,"Energie: 34.0 kcal, Energie: 142.0 kJ, Fett: 0.3 g, davon gesättigte Fettsäuren: 0.012 g, Kohlenhydrate: 4.8 g, davon Zucker: 0.96 g, Eiweiß: 1.3 g, Salz: 0.003 g",,,,,,Obst & Gemüse > Obst > Steinobst & Beeren,https://shop.billa.at/produkte/himbeeren-00410755,"Güteklasse: I Himbeeren verfuhren mit ihrem sußlichen Geschmack mit leichter Saure. Sie lassen sich gleich pur genießen oder als kostliches Dessert zubereiten. frische rot-pinke Fruchte, herrliches Aroma, reich an Vitaminen und Eisen",kg,Billa
00-89380,Steinobst & Beeren,,Nektarinen aus Italien / Spanien,,2.85,pp-veget,,1kg,Korb,1.016,,2.85,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-89380-220443319-dqpubsE2.jpg,"Energie: 57.0 kcal, Energie: 238.0 kJ, Fett: 0.1 g, davon gesättigte Fettsäuren: 0.009 g, Kohlenhydrate: 12.4 g, davon Zucker: 8.679 g, Eiweiß: 0.9 g, Salz: 0.023 g",,,,,weiß- und gelbfleischig ,Obst & Gemüse > Obst > Steinobst & Beeren,https://shop.billa.at/produkte/nektarinen-aus-italien-spanien-0089380,"Klasse I Frischer Genuss und fruchtige Dessert-Zutat: Ihr süßes und saftiges Fruchtfleisch macht Nektarinen zu einer beliebten Steinobstsorte. sehr süßer Geschmack, ideal für fruchtige Nachspeisen, reich an Provitamin A, Vitamin B und Vitamin C",kg,Billa
00-414440,Steinobst & Beeren,,Kirschen,Spanien,3.9,pp-veget,,500g,Tasse,0.5,,7.8,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-414440-759838757-9qcLQU0L.jpg,"Energie: 63.0 kcal, Energie: 265.0 kJ, Fett: 0.3 g, davon gesättigte Fettsäuren: 0.066 g, Kohlenhydrate: 13.3 g, davon Zucker: 0.2 g, Eiweiß: 0.9 g, Salz: 0.008 g",,,,,,Obst & Gemüse > Obst > Steinobst & Beeren,https://shop.billa.at/produkte/kirschen-00414440,Klasse I,kg,Billa
00-88135,Steinobst & Beeren,,Marillen,"Italien, Spanien",3.8,pp-veget,,1kg,Korb,1.016,,3.8,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-88135-01519305530-BOaYeaxs.jpg,,"EUROGROUP ITALIA SRL, Via Sommacampagna 63/h, 37137 Verona Italien",,"Via Sommacampagna 63/h, 37137 Verona Italien",,,Obst & Gemüse > Obst > Steinobst & Beeren,https://shop.billa.at/produkte/marillen-0088135,Klasse I,kg,Billa
00-89480,Steinobst & Beeren,Da komm ich her!,Da komm ich her! Erdbeeren,Österreich,2.99,"pp-veget,pp-vegan,homecountry",,250g,Packung,0.265,,11.96,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-89480-0380601238-z4n0H0_9.jpg,"Energie: 32.0 kcal, Energie: 134.0 kJ, Fett: 0.4 g, davon gesättigte Fettsäuren: 0.023 g, Kohlenhydrate: 5.5 g, davon Zucker: 0.985 g, Eiweiß: 0.8 g, Salz: 0.008 g","Billa AG, Postfach 2000, 2355 Wiener Neudorf",,"Postfach 2000, 2355 Wiener Neudorf",,,Obst & Gemüse > Obst > Steinobst & Beeren,https://shop.billa.at/produkte/da-komm-ich-her-erdbeeren-0089480,Klasse I,kg,Billa
00-593312,Steinobst & Beeren,Da komm ich her!,Da komm ich her!  Heidelbeeren,Österreich,3.49,"pp-veget,homecountry",,200g,Becher,0.216,,17.45,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-593312-284033727-kTLhDvet.jpg,"Energie: 42.0 kcal, Energie: 176.0 kJ, Fett: 0.6 g, davon gesättigte Fettsäuren: 0.036 g, Kohlenhydrate: 7.4 g, davon Zucker: 0.289 g, Eiweiß: 0.6 g, Salz: 0.003 g",,,,,,Obst & Gemüse > Obst > Steinobst & Beeren,https://shop.billa.at/produkte/da-komm-ich-her-heidelbeeren-00593312,Klasse I,kg,Billa
00-89382,Steinobst & Beeren,,Nektarinen gelegt,Spanien,4.75,pp-veget,,1kg,Kilo,1.0,,4.75,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-89382-0373331074-_IRBnSey.jpg,"Energie: 57.0 kcal, Energie: 238.0 kJ, Fett: 0.1 g, davon gesättigte Fettsäuren: 0.009 g, Kohlenhydrate: 12.4 g, davon Zucker: 8.679 g, Eiweiß: 0.9 g, Salz: 0.023 g",,,,,gelbfleischig,Obst & Gemüse > Obst > Steinobst & Beeren,https://shop.billa.at/produkte/nektarinen-gelegt-0089382,weiß-/gelbfleischig - Güteklasse: I Klasse I,kg,Billa
00-410808,Steinobst & Beeren,SanLucar,SanLucar Plattpfirsiche gelegt,Spanien,5.23,pp-veget,,1kg,Kilo,1.0,,5.23,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-410808-0145378398-0tKaOgDN.jpg,,,,,,weißfleischig,Obst & Gemüse > Obst > Steinobst & Beeren,https://shop.billa.at/produkte/sanlucar-plattpfirsiche-gelegt-00410808,Klasse I,kg,Billa
00-89518,Steinobst & Beeren,Da komm ich her!,Da komm ich her! Himbeeren,Österreich,2.99,homecountry,,125g,Tasse,0.141,,23.92,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-89518-0415069198-GJl_fVsR.jpg,,,,,,,Obst & Gemüse > Obst > Steinobst & Beeren,https://shop.billa.at/produkte/da-komm-ich-her-himbeeren-0089518,,kg,Billa
00-89390,Steinobst & Beeren,,Pfirsich gelegt,Spanien,4.75,,,1kg,Kilo,1.0,,4.75,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-89390-1620051669-JMap7PRh.jpg,"Energie: 41.0 kcal, Energie: 170.0 kJ, Fett: 0.1 g, davon gesättigte Fettsäuren: 0.009 g, Kohlenhydrate: 8.9 g, davon Zucker: 5.732 g, Eiweiß: 0.8 g, Salz: 0.003 g",,,,,gelbfleischig,Obst & Gemüse > Obst > Steinobst & Beeren,https://shop.billa.at/produkte/pfirsich-gelegt-0089390,weiß-/gelbfleischig - Güteklasse: I,kg,Billa
00-414705,Steinobst & Beeren,,Brombeeren,"Spanien, Marokko",2.99,"pp-veget,pp-vegan",,125g,Tasse,0.145,,23.92,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-414705-0125355381-yxJRNzZN.jpg,"Energie: 30.0 kcal, Energie: 125.0 kJ, Fett: 1.0 g, davon gesättigte Fettsäuren: 0.06 g, Kohlenhydrate: 2.7 g, davon Zucker: 0.073 g, Eiweiß: 1.2 g, Salz: 0.008 g",,,,,,Obst & Gemüse > Obst > Steinobst & Beeren,https://shop.billa.at/produkte/brombeeren-00414705,"Klasse I Der Becher enthalt aromatische Brombeeren. Diese eignen sich fur fruchtige Desserts oder einfach frisch aufs Musli. enthalten viel Vitamin C sowie Vitamin E, Tipp: im Kuhlschrank aufbewahren und zugig verbrauchen",kg,Billa
